SiteName,SiteHole,Lat,Lon,pLat325,pLon325,pLat475,pLon475,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,BIT,MI,deltaRI,QualityFlag
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.568,0.510037771,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.647,0.516952086,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.706,0.489844775,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.741,0.457950686,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.2,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.885,0.545559478,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.2,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.925,0.523960135,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,7.952,0.457950686,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,8.198,0.489844775,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,8.454,0.504912793,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,8.458,0.481668825,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,8.631,0.532853947,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,8.691,0.518695262,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,8.728,0.529278449,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,8.807,0.501524782,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.1,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,9.231,0.511757631,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.3,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,9.332,0.503215936,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.1,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,9.454,0.547399118,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0.2,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,9.656,0.503215936,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0.1,0.2,0,0
IODPU1425,NaN,39.49067,134.4425,39.9343074,133.7167505,40.13898099,133.3785579,1909,NaN,NaN,9.786,0.518695262,tex,NaN,NaN,Wittkopp,2017,https://doi.org/10.1594/PANGAEA.879742,https://doi.org/10.1594/PANGAEA.879742,0,0.2,0,0
